Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
9762,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9763,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9764,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9765,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9766,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9767,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9768,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9769,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9770,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9771,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9772,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
9773,10,217.5,"['00:30:a7:38:43:96', '00:30:a7:15:ab:f9']","['01:0c:cd:01:00:10', '01:0c:cd:01:00:12']",0,0,0,0
