No.,Length,StNum,SqNum,Boolean,hour,minute,second,microsecond,Source_eth1,Source_eth2,Source_eth3,Source_eth4,Source_eth5,Source_eth6,Destination_eth1,Destination_eth2,Destination_eth3,Destination_eth4,Destination_eth5,Destination_eth6,protocol,frame_number,frame_length,dnp3_length,dfc_bit,link_src,link_dst,FIR,FIN,SEQ,iin_device_restart,iin_device_trouble,iin_digital_outputs_in_local,iin_time_sync_required,iin_class3_data_available,iin_class2_data_available,iin_class1_data_available,iin_broadcast_msg_rx,iin_configuration_corrupt,iin_operation_already_executing,iin_event_buffer_overflow,iin_parameters_invalid_or_out_of_range,iin_requested_objects_unknown,iin_function_code_not_implemented,source_port,source_ip1,source_ip2,source_ip3,source_ip4,destination_port,destination_ip1,destination_ip2,destination_ip3,destination_ip4,primary_func_1,primary_func_4,primary_func_14,primary_func_15,function_0,function_1,function_2,function_3,function_4,function_5,function_6,function_7,function_8,function_9,function_10,function_11,function_12,function_13,function_14,function_129,function_130
,,,,,11,18,12,894002,,,,,,,,,,,,,DNP3,549,0.098901099,0.111111111,0,70,72,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,12,896804,,,,,,,,,,,,,DNP3,551,0.021978022,0.024691358,0,72,70,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,0,15,1272240,FALSE,11,18,12,957386,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.954545455,515,7,TRUE,11,18,13,793080,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,15,1272241,FALSE,11,18,13,961396,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.954545455,515,8,TRUE,11,18,14,792920,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,14,906986,,,,,,,,,,,,,DNP3,559,0.098901099,0.111111111,0,70,72,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,14,909972,,,,,,,,,,,,,DNP3,561,0.021978022,0.024691358,0,72,70,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,0,15,1272242,FALSE,11,18,14,965323,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.954545455,515,9,TRUE,11,18,15,793209,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0,15,1272243,FALSE,11,18,15,969741,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0.954545455,515,10,TRUE,11,18,16,792931,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,16,919999,,,,,,,,,,,,,DNP3,569,0.098901099,0.111111111,0,70,72,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,16,922820,,,,,,,,,,,,,DNP3,571,0.021978022,0.024691358,0,72,70,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,0,15,1272244,FALSE,11,18,16,969353,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0.954545455,515,11,TRUE,11,18,17,793253,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0,15,1272245,FALSE,11,18,17,973790,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,18,405097,,,,,,,,,,,,,DNP3,579,0.131868132,0.148148148,0,70,72,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,18,409157,,,,,,,,,,,,,DNP3,581,1,1,0,72,70,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,0.954545455,515,12,TRUE,11,18,18,792964,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,18,933044,,,,,,,,,,,,,DNP3,587,0.098901099,0.111111111,0,70,72,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,18,936384,,,,,,,,,,,,,DNP3,589,0.021978022,0.024691358,0,72,70,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,0,15,1272246,FALSE,11,18,18,977578,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.954545455,515,13,TRUE,11,18,19,793063,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,15,1272247,FALSE,11,18,19,981877,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.954545455,515,14,TRUE,11,18,20,793139,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,20,946037,,,,,,,,,,,,,DNP3,597,0.098901099,0.111111111,0,70,72,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,20,957912,,,,,,,,,,,,,DNP3,599,0.021978022,0.024691358,0,72,70,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,0,15,1272248,FALSE,11,18,20,985856,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0.954545455,515,15,TRUE,11,18,21,793431,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,15,1272249,FALSE,11,18,21,989908,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0.954545455,515,16,TRUE,11,18,22,793733,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,22,959034,,,,,,,,,,,,,DNP3,607,0.098901099,0.111111111,0,70,72,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,22,969585,,,,,,,,,,,,,DNP3,609,0.021978022,0.024691358,0,72,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145,0,15,1272250,FALSE,11,18,22,994268,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.954545455,515,17,TRUE,11,18,23,793750,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0,15,1272251,FALSE,11,18,23,998102,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.954545455,515,18,TRUE,11,18,24,793792,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,24,972040,,,,,,,,,,,,,DNP3,617,0.098901099,0.111111111,0,70,72,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,24,986012,,,,,,,,,,,,,DNP3,619,0.021978022,0.024691358,0,72,70,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,0,15,1272252,FALSE,11,18,24,998285,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.954545455,515,19,TRUE,11,18,25,793786,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,15,1272253,FALSE,11,18,26,2177,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0.954545455,515,20,TRUE,11,18,26,793771,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,26,985040,,,,,,,,,,,,,DNP3,627,0.098901099,0.111111111,0,70,72,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,26,995149,,,,,,,,,,,,,DNP3,629,0.021978022,0.024691358,0,72,70,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
